NODE-A NODE-B 1
NODE-A NODE-C 1
NODE-A NODE-D 1
NODE-A NODE-E 1
NODE-B NODE-C 1
NODE-B NODE-D 1
NODE-B NODE-E 1
NODE-C NODE-D 1
NODE-C NODE-E 1
NODE-D NODE-E 1
NODE--NUMBER--5 NODE-E 1
NODE-A NODE--NUMBER--5 2
NODE--NUMBER--6 NODE-A 3
NODE-E NODE--NUMBER--6 4
NODE--NUMBER--7 NODE-D 5
NODE-B NODE--NUMBER--7 6
NODE--NUMBER--8 NODE-A 7
NODE--NUMBER--9 NODE-A 8
NODE--NUMBER--5 NODE-C 9
NODE--NUMBER--10 NODE-C 10
NODE--NUMBER--5 NODE-B 11
NODE--NUMBER--11 NODE-B 12
NODE--NUMBER--11 NODE-D 13
NODE-D NODE--NUMBER--6 14
NODE--NUMBER--12 NODE-C 15
NODE--NUMBER--12 NODE--NUMBER--8 16
NODE--NUMBER--13 NODE-A 17
NODE--NUMBER--5 NODE--NUMBER--7 18
NODE--NUMBER--14 NODE-D 19
NODE--NUMBER--15 NODE--NUMBER--8 20
NODE--NUMBER--10 NODE-A 21
NODE--NUMBER--16 NODE--NUMBER--8 22
NODE--NUMBER--16 NODE--NUMBER--12 23
NODE--NUMBER--8 NODE-C 24
NODE--NUMBER--17 NODE-D 25
NODE--NUMBER--9 NODE-D 26
NODE--NUMBER--9 NODE-C 27
NODE-A NODE--NUMBER--11 28
NODE--NUMBER--5 NODE--NUMBER--9 29
NODE--NUMBER--10 NODE-E 30
NODE--NUMBER--17 NODE-E 31
NODE--NUMBER--18 NODE--NUMBER--17 32
NODE--NUMBER--5 NODE-D 33
NODE--NUMBER--19 NODE--NUMBER--11 34
NODE--NUMBER--20 NODE-B 35
NODE--NUMBER--21 NODE-A 36
NODE--NUMBER--22 NODE-E 37
NODE--NUMBER--23 NODE--NUMBER--12 38
NODE--NUMBER--24 NODE--NUMBER--5 39
NODE--NUMBER--24 NODE-B 40
NODE--NUMBER--25 NODE--NUMBER--12 41
NODE--NUMBER--26 NODE--NUMBER--18 42
NODE--NUMBER--9 NODE--NUMBER--8 43
