Timestamp NoNodes NoLinks AverageDegree MaxDeg Singletons Doubletons MeanSquaredDeg Assortativity AverageClustering TriCount 
10 0 0 0.000000 0 0 0 0.000000 0.000000 0.000000 0 
20 25 70 5.600000 14 0 0 41.200000 -0.134369 0.337374 47 
30 35 100 5.714286 15 0 0 43.200000 -0.044273 0.244780 53 
40 45 130 5.777778 18 0 0 46.888889 -0.085208 0.250537 64 
50 55 160 5.818182 21 0 0 50.254545 -0.120847 0.260730 76 
60 65 190 5.846154 24 0 0 52.338462 -0.121836 0.217309 81 
70 75 220 5.866667 26 0 0 53.360000 -0.103407 0.198252 87 
80 85 250 5.882353 28 0 0 54.141176 -0.086943 0.173435 92 
90 95 280 5.894737 30 0 0 54.989474 -0.077866 0.157015 95 
100 105 310 5.904762 33 0 0 55.809524 -0.074077 0.144268 99 
110 115 340 5.913043 35 0 0 57.756522 -0.083036 0.149830 107 
120 125 370 5.920000 36 0 0 59.264000 -0.087154 0.147525 113 
130 135 400 5.925926 37 0 0 59.214815 -0.074366 0.141194 117 
140 145 430 5.931034 37 0 0 58.979310 -0.060553 0.121185 117 
150 155 460 5.935484 38 0 0 59.729032 -0.057548 0.112130 121 
160 165 490 5.939394 40 0 0 61.284848 -0.065573 0.108200 124 
170 175 520 5.942857 42 0 0 62.834286 -0.075920 0.109036 129 
180 185 550 5.945946 43 0 0 63.243243 -0.072718 0.107185 132 
190 195 580 5.948718 46 0 0 64.225641 -0.073547 0.102534 135 
200 205 610 5.951220 46 0 0 64.712195 -0.068941 0.095766 137 
210 215 640 5.953488 46 0 0 64.613953 -0.058762 0.085919 138 
220 225 670 5.955556 48 0 0 65.493333 -0.061510 0.080803 139 
230 235 700 5.957447 48 0 0 65.770213 -0.058416 0.074157 139 
240 245 730 5.959184 49 0 0 66.065306 -0.059474 0.072831 141 
250 255 760 5.960784 49 0 0 66.290196 -0.055324 0.069885 142 
260 265 790 5.962264 50 0 0 66.400000 -0.051980 0.065287 142 
270 275 820 5.963636 52 0 0 67.061818 -0.052705 0.064136 146 
280 285 850 5.964912 54 0 0 67.129825 -0.051004 0.058868 146 
290 295 880 5.966102 54 0 0 67.471186 -0.051745 0.060487 150 
300 305 910 5.967213 55 0 0 67.193443 -0.046353 0.056806 150 
310 315 940 5.968254 55 0 0 67.447619 -0.045617 0.054101 152 
320 325 970 5.969231 56 0 0 67.384615 -0.042286 0.050122 153 
330 335 1000 5.970149 57 0 0 67.838806 -0.041735 0.049720 155 
340 345 1030 5.971014 59 0 0 68.927536 -0.048505 0.050754 158 
350 355 1060 5.971831 60 0 0 69.154930 -0.047917 0.049375 159 
360 365 1090 5.972603 60 0 0 68.969863 -0.043752 0.047003 159 
370 375 1120 5.973333 60 0 0 68.554667 -0.037466 0.044626 159 
380 385 1150 5.974026 60 0 0 68.924675 -0.039816 0.043760 160 
390 395 1180 5.974684 63 0 0 69.792405 -0.043584 0.043563 162 
400 405 1210 5.975309 64 0 0 70.158025 -0.043181 0.042267 163 
410 415 1240 5.975904 66 0 0 71.373494 -0.049649 0.041570 164 
420 425 1270 5.976471 66 0 0 71.016471 -0.045101 0.040724 165 
430 435 1300 5.977011 68 0 0 70.979310 -0.043345 0.039974 166 
440 445 1330 5.977528 68 0 0 70.647191 -0.039654 0.037846 166 
450 455 1360 5.978022 69 0 0 71.296703 -0.042242 0.038257 168 
460 465 1390 5.978495 69 0 0 71.212903 -0.039679 0.036781 168 
470 475 1420 5.978947 70 0 0 71.578947 -0.040849 0.036709 170 
480 485 1450 5.979381 70 0 0 71.624742 -0.040962 0.035949 171 
490 495 1480 5.979798 71 0 0 71.709091 -0.038802 0.035409 172 
500 505 1510 5.980198 73 0 0 72.328713 -0.041587 0.035307 173 
510 515 1540 5.980583 74 0 0 72.644660 -0.042771 0.035356 174 
520 525 1570 5.980952 75 0 0 72.563810 -0.040836 0.033770 174 
530 535 1600 5.981308 77 0 0 72.949533 -0.041595 0.033602 175 
540 545 1630 5.981651 78 0 0 73.339450 -0.042080 0.033640 177 
550 555 1660 5.981982 80 0 0 73.790991 -0.043287 0.035509 181 
560 565 1690 5.982301 80 0 0 73.738053 -0.042250 0.035124 182 
570 575 1720 5.982609 81 0 0 74.024348 -0.041633 0.034434 183 
580 585 1750 5.982906 83 0 0 74.355556 -0.042230 0.035870 187 
590 595 1780 5.983193 83 0 0 74.228571 -0.041017 0.036878 190 
600 605 1810 5.983471 86 0 0 75.064463 -0.044882 0.037442 193 
610 615 1840 5.983740 86 0 0 75.099187 -0.044168 0.037694 195 
620 625 1870 5.984000 86 0 0 74.972800 -0.042619 0.037559 196 
630 635 1900 5.984252 86 0 0 75.278740 -0.043363 0.036235 196 
640 645 1930 5.984496 86 0 0 75.048062 -0.040514 0.036228 198 
650 655 1960 5.984733 86 0 0 74.873282 -0.038297 0.034677 198 
660 665 1990 5.984962 86 0 0 75.446617 -0.040358 0.034737 200 
670 675 2020 5.985185 86 0 0 75.457778 -0.038798 0.034664 202 
680 685 2050 5.985401 86 0 0 75.357664 -0.037835 0.034011 203 
690 695 2080 5.985612 86 0 0 75.251799 -0.036622 0.033367 204 
700 705 2110 5.985816 87 0 0 75.174468 -0.035502 0.033358 205 
710 715 2140 5.986014 88 0 0 75.309091 -0.035302 0.033268 207 
720 725 2170 5.986207 88 0 0 75.131034 -0.033926 0.032701 207 
730 735 2200 5.986395 88 0 0 74.949660 -0.032557 0.032095 207 
740 745 2230 5.986577 89 0 0 75.194631 -0.033312 0.031125 207 
750 755 2260 5.986755 90 0 0 75.263576 -0.032266 0.031486 209 
760 765 2290 5.986928 90 0 0 75.443137 -0.031855 0.030334 209 
770 775 2320 5.987097 90 0 0 75.277419 -0.030577 0.029773 209 
780 785 2350 5.987261 90 0 0 75.480255 -0.030566 0.029399 210 
790 795 2380 5.987421 90 0 0 75.828931 -0.030737 0.032017 217 
800 805 2410 5.987578 91 0 0 76.077019 -0.031423 0.031263 217 
810 815 2440 5.987730 91 0 0 75.943558 -0.029573 0.030760 217 
820 825 2470 5.987879 92 0 0 76.016970 -0.029019 0.030166 217 
830 835 2500 5.988024 93 0 0 76.400000 -0.030141 0.029564 217 
840 845 2530 5.988166 93 0 0 76.444970 -0.030188 0.030445 220 
850 855 2560 5.988304 93 0 0 76.449123 -0.029360 0.029736 220 
860 865 2590 5.988439 94 0 0 76.596532 -0.028980 0.029239 221 
870 875 2620 5.988571 94 0 0 76.715429 -0.028953 0.029397 223 
880 885 2650 5.988701 95 0 0 76.976271 -0.029679 0.029533 225 
890 895 2680 5.988827 96 0 0 77.115084 -0.029277 0.028810 225 
900 905 2710 5.988950 96 0 0 77.016575 -0.028398 0.028278 226 
910 915 2740 5.989071 96 0 0 76.959563 -0.027392 0.027737 226 
920 925 2770 5.989189 96 0 0 76.992432 -0.026952 0.027508 227 
930 935 2800 5.989305 96 0 0 76.889840 -0.025957 0.027072 227 
940 945 2830 5.989418 96 0 0 76.736508 -0.024409 0.026806 228 
950 955 2860 5.989529 96 0 0 76.722513 -0.023667 0.026336 228 
960 965 2890 5.989637 98 0 0 77.063212 -0.025121 0.026234 229 
970 975 2920 5.989744 98 0 0 77.009231 -0.024600 0.025711 229 
980 985 2950 5.989848 99 0 0 77.285279 -0.025372 0.025641 230 
990 995 2980 5.989950 99 0 0 77.236181 -0.024437 0.025072 230 
1000 1000 2995 5.990000 99 0 0 77.284000 -0.024494 0.024928 230 
