Timestamp NoNodes NoLinks AverageDegree MaxDeg Singletons Doubletons MeanSquaredDeg Assortativity AverageClustering TriCount 
10 0 0 0.000000 0 0 0 0.000000 0.000000 0.000000 0 
20 8 11 2.750000 4 0 3 8.000000 -0.425926 0.187500 1 
30 9 14 3.111111 4 0 3 10.444444 -0.410853 0.222222 2 
40 10 17 3.400000 5 0 2 12.600000 -0.426174 0.263333 3 
50 11 20 3.636364 5 0 2 14.363636 -0.253133 0.251515 4 
60 11 23 4.181818 6 0 1 18.727273 0.031136 0.284848 9 
70 11 26 4.727273 8 0 1 24.909091 -0.114079 0.438312 18 
80 12 29 4.833333 8 0 1 26.333333 -0.085161 0.390675 19 
90 13 32 4.923077 9 0 1 28.153846 -0.171606 0.391514 21 
100 13 35 5.384615 10 0 1 34.769231 -0.202905 0.547741 35 
110 14 38 5.428571 10 0 1 36.000000 -0.223877 0.538265 37 
120 14 41 5.857143 10 0 1 41.571429 -0.254900 0.604478 47 
130 14 44 6.285714 10 0 1 47.714286 -0.233974 0.635884 60 
140 15 47 6.266667 11 0 1 47.866667 -0.169199 0.569923 61 
150 16 50 6.250000 11 0 1 48.125000 -0.159642 0.532607 62 
160 17 53 6.235294 12 0 1 48.470588 -0.175746 0.511285 63 
170 18 56 6.222222 12 0 1 49.111111 -0.203696 0.487398 64 
180 19 59 6.210526 13 0 1 49.473684 -0.200447 0.461355 65 
190 20 62 6.200000 14 0 1 50.700000 -0.252120 0.463139 67 
200 21 65 6.190476 14 0 1 49.714286 -0.146427 0.401402 67 
210 21 68 6.476190 14 0 1 53.333333 -0.160896 0.421480 74 
220 22 71 6.454545 15 0 1 54.909091 -0.229276 0.442407 77 
230 23 74 6.434783 15 0 1 54.521739 -0.180299 0.394318 77 
240 24 77 6.416667 15 0 1 54.083333 -0.140283 0.364925 77 
250 25 80 6.400000 15 0 1 54.560000 -0.145936 0.369261 79 
260 26 83 6.384615 15 0 1 54.769231 -0.139085 0.377325 81 
270 27 86 6.370370 15 0 1 54.814815 -0.126727 0.365900 82 
280 27 89 6.592593 15 0 1 57.111111 -0.102476 0.363203 86 
290 27 92 6.814815 15 0 1 60.444444 -0.112126 0.391220 93 
300 28 95 6.785714 15 0 1 59.714286 -0.085287 0.387962 94 
310 29 98 6.758621 15 0 1 59.310345 -0.067656 0.362023 94 
320 30 101 6.733333 15 0 1 59.000000 -0.067265 0.359982 95 
330 31 104 6.709677 16 0 1 59.677419 -0.099159 0.366808 97 
340 32 107 6.687500 16 0 1 59.562500 -0.084036 0.361229 98 
350 33 110 6.666667 16 0 1 59.636364 -0.093358 0.358231 99 
360 33 113 6.848485 16 0 1 62.060606 -0.074621 0.364211 105 
370 34 116 6.823529 16 0 1 62.235294 -0.073364 0.381119 108 
380 35 119 6.800000 17 0 1 62.628571 -0.081818 0.377536 110 
390 36 122 6.777778 17 0 1 62.388889 -0.070144 0.356305 110 
400 37 125 6.756757 17 0 1 62.216216 -0.067689 0.350782 111 
410 38 128 6.736842 17 0 1 61.578947 -0.041303 0.346814 112 
